feat	id
TSPAN6	0
CFH	1
FUCA2	2
GCLC	3
ENPP4	4
SEMA3F	5
CFTR	6
CD99	7
HS3ST1	8
AOC1	9
HECW1	10
MAD1L1	11
TMEM176A	12
KLHL13	13
CYP26B1	14
ICA1	15
DBNDD1	16
CASP10	17
CFLAR	18
TFPI	19
SLC7A2	20
SARM1	21
PLXND1	22
HSPB6	23
ARHGAP33	24
PDK4	25
ABCB5	26
PRSS22	27
SKAP2	28
HOXA11	29
ACSM3	30
FAM214B	31
COPZ2	32
PRKAR2B	33
TSPOAP1	34
CROT	35
SOX8	36
ITGA3	37
CRLF1	38
OSBPL7	39
TMEM98	40
YBX2	41
MAP3K14	42
TMEM132A	43
CX3CL1	44
TNFRSF12A	45
DLX6	46
BAIAP2L1	47
ETV1	48
ALDH3B1	49
TTC22	50
CCL26	51
USH1C	52
GTF2IRD1	53
ARHGAP44	54
SCIN	55
ARSD	56
PNPLA4	57
PRSS21	58
PROM1	59
DNAH9	60
GAS7	61
TRAPPC6A	62
MATK	63
PAX6	64
RHBDF1	65
BAIAP3	66
TEAD3	67
MYLIP	68
TFAP2B	69
CYTH3	70
CYB561	71
CELSR3	72
AASS	73
PLEKHG6	74
MGST1	75
NFIX	76
ST3GAL1	77
IL32	78
MAPK8IP2	79
TRAF3IP3	80
MLXIPL	81
ETV7	82
DYRK4	83
CD9	84
IFFO1	85
GIPR	86
FUZ	87
IDS	88
PRSS3	89
HFE	90
FYN	91
MRC2	92
NME1-NME2	93
TSPAN9	94
ANOS1	95
SYT7	96
PLAUR	97
ANLN	98
DCN	99
TMEM159	100
GABRA3	101
CD22	102
SEMA3B	103
ELOVL5	104
ALOX5	105
KDM5D	106
EHD3	107
CLDN11	108
MVP	109
GPRC5A	110
MAMLD1	111
ACP3	112
MTMR11	113
CCDC88C	114
WAS	115
DPEP1	116
RGPD5	117
CHDH	118
IL20RA	119
IGF1	120
SLC38A5	121
CNTN1	122
WWTR1	123
AGPS	124
VSIG2	125
PHLDB1	126
CYP24A1	127
SYT13	128
SNAI2	129
CD74	130
HGF	131
ADGRA2	132
SAMD4A	133
RUNX3	134
PLEKHB1	135
SERPINB1	136
NRXN3	137
OSBPL5	138
CPS1	139
FHL1	140
NLRP2	141
GRAMD1B	142
BIRC3	143
SNAPC1	144
ABCC2	145
DEF6	146
PLEKHO1	147
GCLM	148
EHD2	149
RRAGD	150
NR1H3	151
TYMP	152
VIM	153
FAS	154
RNASET2	155
CD44	156
KCNG1	157
AGPAT4	158
SLAMF7	159
BTN3A1	160
PRKCH	161
SH2D2A	162
TNFRSF1B	163
ARNTL2	164
ANK1	165
IKZF2	166
ARHGAP31	167
FUT8	168
GAB2	169
APBA2	170
SH3YL1	171
VCL	172
DAPK2	173
TIMP2	174
MYOM2	175
FLT4	176
HOXC8	177
AGA	178
TRIO	179
VCAN	180
CDH1	181
RAI14	182
RTN4R	183
CDH10	184
RAB27B	185
TNC	186
RIPOR3	187
AIFM2	188
CAPG	189
ADAM28	190
BARX2	191
ZIC2	192
LCP2	193
CNTLN	194
EPHA3	195
DSG2	196
GPM6B	197
MAGEC2	198
CTPS2	199
FAM214A	200
ARAP2	201
CP	202
XK	203
SCML1	204
WWC3	205
ARHGAP6	206
HDAC9	207
CC2D2A	208
LMO3	209
CELF2	210
COL9A2	211
KITLG	212
ADAMTS6	213
PER3	214
TNFRSF9	215
EPN3	216
LTBP1	217
RCN1	218
ELN	219
NEDD4L	220
DKK3	221
ARHGEF5	222
NFE2L3	223
LIMA1	224
SLC4A8	225
LAMC3	226
PTGER3	227
TNIP3	228
BCAR1	229
HOMER3	230
CYBA	231
HEBP2	232
PLEKHA5	233
PRSS8	234
MSMO1	235
FOXN3	236
NNAT	237
LAMA3	238
KCNQ1	239
ENTPD2	240
LY75	241
OPN3	242
PTPRN	243
HHAT	244
FOXC1	245
PLEKHH1	246
ATP9A	247
GALC	248
KCNH2	249
CYFIP2	250
MCOLN3	251
TRAF1	252
IL17RB	253
TRAF3IP2	254
GYG2	255
DCBLD2	256
SOAT1	257
PKP2	258
PRDM1	259
TMCC3	260
LAMC2	261
CDK14	262
RASGRF1	263
CAMK2B	264
ATP2B4	265
DGKG	266
TBXAS1	267
PARP12	268
SLC2A3	269
YBX3	270
STYK1	271
GNA15	272
PTPRU	273
COL11A1	274
BCAT1	275
LZTS1	276
SPAG4	277
GUCY1B1	278
CDH3	279
DGAT2	280
LTK	281
CA11	282
AHRR	283
GPC1	284
LIMCH1	285
DLX3	286
SPA17	287
CCN5	288
ST3GAL6	289
ATP2C2	290
NGFR	291
CDON	292
HIPK2	293
LPAR2	294
CTSA	295
SLC12A2	296
EYA2	297
CNN2	298
FAR2	299
BCAS1	300
CHI3L2	301
HMG20B	302
CALCRL	303
SLC9A3R2	304
OAT	305
TRAM2	306
NTN1	307
DGKA	308
ERBB3	309
ROPN1	310
ANKRD44	311
MYLK	312
COL17A1	313
GSTO2	314
TLE2	315
FAM107B	316
ME1	317
TBC1D1	318
SLC9A7	319
PDE4A	320
NGEF	321
MPPED2	322
