drug_idx,cell_line_idx,ri,fold
65,2,-13.792242,4
65,37,58.4495,2
65,104,58.58,1
65,147,20.8885,1
65,94,0.5235,1
65,144,-11.189378,1
65,103,28.458728,0
65,91,69.333,2
65,112,50.068,0
65,52,-36.553156,4
65,119,63.537,0
65,0,29.373,0
65,49,3.253111,1
65,5,43.0835,0
65,95,30.088907,1
65,92,8.992518,1
65,100,14.156431,3
65,140,56.811,1
65,41,29.3735,1
65,115,54.58055,2
65,161,0.511329,3
65,46,-6.792,3
65,97,11.213344,2
65,159,7.51075,1
65,168,33.992159,4
65,101,24.608,0
65,149,39.58,0
65,18,53.26145,4
65,53,28.107,0
65,162,11.778027,3
65,139,40.6535,3
65,82,52.919636,2
65,145,53.438,3
65,170,-20.944084,2
65,130,35.597677,4
65,146,-4.814541,1
65,23,63.368,1
65,59,-24.994763,4
65,48,34.4165,1
65,96,58.1878,0
65,60,40.36775,3
65,85,85.836,4
65,116,43.097,4
65,81,63.355,3
65,38,31.423,2
65,110,31.726985,3
65,171,35.564139,2
65,65,41.064,4
65,42,48.967,0
65,32,62.553,1
65,57,11.5039,0
65,124,5.121,2
1115,64,3.70661,2
1115,31,-3.67291,2
1115,118,9.967009,3
1115,147,16.123838,1
1115,12,15.740642,0
1115,156,4.216143,3
1115,11,6.009678,0
1809,49,16.731525,1
1809,97,5.70361,2
1809,64,39.640932,2
1809,161,-8.330094,3
1809,31,-17.104421,2
1809,100,-41.717619,3
1809,92,7.064428,1
1809,131,-17.92574,0
1809,95,12.402916,1
1809,52,35.282694,4
1809,2,37.45795,4
1809,144,9.482916,1
1809,171,21.227526,2
1809,110,27.675161,3
1809,59,1.125791,4
1809,146,-47.629142,1
1809,130,-17.322956,4
1809,170,49.316424,2
1809,148,-68.753001,4
1809,162,53.361313,3
1809,103,47.29463,0
2325,164,13.378098,0
2325,74,22.966306,2
2325,68,16.571917,4
2325,88,24.354,3
2325,172,62.946,0
2325,24,-28.721,3
1885,118,4.739,3
1885,31,50.116353,2
1885,47,-1.048,2
1885,1,20.643,0
1885,143,12.286,4
1885,76,19.257,1
1885,25,-1.001,1
1885,24,8.371,3
1885,56,16.523,0
1885,3,-5.811667,4
1885,36,29.201,4
1885,15,2.167,4
1885,150,-2.53,0
1885,17,8.765,0
1885,172,-4.592,0
2086,97,10.610562,2
2086,64,16.509086,2
2086,161,25.074209,3
2086,100,37.908178,3
2086,92,-36.914759,1
2086,131,-9.999998,0
2086,49,-32.402291,1
2086,103,40.097751,0
2086,110,28.764243,3
2086,171,9.786408,2
2086,59,23.847623,4
2086,146,14.089144,1
2086,130,36.848802,4
2086,170,29.283005,2
2086,162,24.907314,3
2086,2,40.823157,4
2086,144,7.42924,1
1829,31,98.411846,2
1829,164,-0.106,0
1829,74,3.637917,2
1829,68,11.647417,4
1829,24,40.154,3
1829,150,24.764,0
1829,88,10.301583,3
1829,172,53.307,0
1829,3,4.529,4
282,166,24.803677,4
282,136,1.718781,3
282,163,8.374376,0
282,90,22.88414,2
282,80,3.525972,4
282,66,1.585107,2
282,108,8.913318,1
282,45,3.691461,3
282,11,3.725586,0
282,40,13.831908,4
282,95,8.470557,1
282,131,7.704578,0
282,92,5.571255,1
282,107,1.352613,4
282,54,4.414936,0
282,20,18.313749,3
282,118,6.131936,3
282,115,4.356982,2
282,75,12.317569,3
282,161,3.41998,3
282,64,5.958939,2
282,21,6.771461,1
282,99,7.395621,2
282,141,2.781108,1
282,72,4.247355,3
282,78,11.728543,1
282,156,6.758369,3
282,28,8.639724,0
282,169,32.264037,4
282,165,12.232455,1
282,87,10.600371,4
282,114,9.853126,1
282,29,8.517472,0
282,17,18.354691,0
282,117,20.749632,0
282,63,1.811107,2
282,15,7.001851,4
282,35,6.911232,4
282,84,10.738276,0
282,18,5.080003,4
282,127,13.102513,2
282,147,9.596042,1
282,102,7.828028,3
282,43,4.292666,2
282,121,3.500657,4
282,171,6.23285,2
1790,168,8.622545,4
1790,159,15.503818,1
1790,46,1.233273,3
1790,31,84.993133,2
1790,115,9.4703,2
1790,106,14.8485,0
1790,158,6.369,0
1790,101,-17.890909,0
1790,60,-7.6765,3
1790,24,-0.846978,3
1790,57,7.3244,0
1790,85,7.211727,4
1790,18,5.9533,4
1790,96,-0.9204,0
1790,82,3.071636,2
1790,172,56.414,0
1816,172,16.889,0
1816,148,30.540127,4
1816,24,13.086,3
1816,31,12.007363,2
1816,97,14.169945,2
1806,97,26.920357,2
1806,31,47.872972,2
1806,106,5.976278,0
1806,164,10.993061,0
1806,24,-27.816,3
1806,148,73.56988,4
1806,172,-0.332,0
1806,158,4.957222,0
1842,172,14.731,0
1842,148,43.010301,4
1842,24,3.604,3
1842,31,29.922432,2
1842,97,14.669842,2
2090,8,0.17775,4
2090,38,-2.39375,2
2090,35,-0.02525,4
2090,24,-10.281,3
2090,53,-1.127375,0
2090,132,-7.305875,3
2090,147,5.417625,1
2090,142,2.98325,4
2090,159,0.19975,1
2090,16,0.976875,1
2090,104,-0.479,1
2090,123,2.542625,1
2090,94,-1.769125,1
2090,124,-0.02175,2
2090,128,6.2495,2
2090,172,0.847,0
2090,165,2.187375,1
2090,145,-3.80825,3
2090,77,0.06325,4
2090,139,19.2295,3
2090,96,6.427875,0
2090,30,10.372875,2
2090,34,-8.647125,3
2090,48,1.414,1
2090,10,2.396875,4
3106,97,27.075791,2
3106,52,28.006855,4
3106,64,23.962261,2
3106,161,-14.977748,3
3106,100,30.814248,3
3106,131,40.448172,0
3106,95,17.868858,1
3106,49,23.690476,1
3106,103,-59.166999,0
3106,92,-17.62611,1
3106,171,27.643599,2
3106,110,15.582801,3
3106,59,9.70623,4
3106,146,18.50315,1
3106,130,25.455883,4
3106,170,35.424432,2
3106,148,-22.661191,4
3106,162,-30.684705,3
3106,2,46.629207,4
3106,144,30.35836,1
284,45,-2.090037,3
284,108,2.745343,1
284,21,0.490688,1
284,136,-0.760423,3
284,80,-1.783507,4
284,90,-1.168959,2
284,163,-0.05125,0
284,11,-0.101163,0
284,66,0.022116,2
284,40,0.300087,4
284,54,0.93772,0
284,131,-1.056696,0
284,92,-1.597354,1
284,107,-1.146947,4
284,20,-0.667865,3
284,118,-2.441131,3
284,115,0.440933,2
284,75,0.519442,3
284,161,-0.702082,3
284,64,0.572093,2
284,166,-0.331467,4
284,95,1.443091,1
284,99,-0.271777,2
284,102,-1.878826,3
284,72,-0.698243,3
284,78,0.791028,1
284,156,3.118384,3
284,169,-1.945304,4
284,165,-0.315613,1
284,87,-1.111072,4
284,63,-0.944066,2
284,29,-0.925051,0
284,17,-0.434856,0
284,117,-0.328319,0
284,28,-1.822821,0
284,35,-0.253907,4
284,141,0.32418,1
284,147,-0.037322,1
284,84,1.233338,0
284,18,-1.209934,4
284,114,-0.808789,1
284,171,0.304179,2
284,43,-1.407065,2
284,121,0.115278,4
284,15,-3.620442,4
284,127,-0.908431,2
2106,164,38.794027,0
2106,74,40.4565,2
2106,106,43.465,0
2106,68,38.018667,4
2106,158,25.741,0
2106,3,5.457,4
2106,150,-6.047,0
2106,172,84.232,0
2106,24,30.201,3
2106,88,20.866,3
3098,47,39.9392,2
3098,118,59.0997,3
3098,1,47.2866,0
3098,143,48.385,4
3098,76,41.6239,1
3098,25,-2.8435,1
3098,56,59.7422,0
3098,15,9.825,4
3098,17,14.9829,0
3098,151,18.971,2
3098,154,59.834667,3
3098,36,47.561875,4
2378,97,18.592004,2
2378,64,-12.247747,2
2378,161,-47.360354,3
2378,100,8.506395,3
2378,92,22.959725,1
2378,131,25.880056,0
2378,95,-60.893597,1
2378,49,-2.643761,1
2378,103,25.282298,0
2378,144,-52.321266,1
2378,52,-39.081588,4
2378,24,-18.13,3
2378,110,4.590871,3
2378,59,-27.389781,4
2378,146,-7.719208,1
2378,130,1.850711,4
2378,170,16.63625,2
2378,148,32.414714,4
2378,162,38.94182,3
2378,2,54.825896,4
2378,172,-2.961,0
2378,171,20.162165,2
322,52,10.24919,4
