drug_idx,cell_line_idx,ri,fold
65,2,-13.792242,1
65,37,58.4495,1
65,104,58.58,1
65,147,20.8885,1
65,94,0.5235,1
65,144,-11.189378,1
65,103,28.458728,1
65,91,69.333,1
65,112,50.068,1
65,52,-36.553156,1
65,119,63.537,1
65,0,29.373,1
65,49,3.253111,1
65,5,43.0835,1
65,95,30.088907,1
65,92,8.992518,1
65,100,14.156431,1
65,140,56.811,1
65,41,29.3735,1
65,115,54.58055,1
65,161,0.511329,1
65,46,-6.792,1
65,97,11.213344,1
65,159,7.51075,1
65,168,33.992159,1
65,101,24.608,1
65,149,39.58,1
65,18,53.26145,1
65,53,28.107,1
65,162,11.778027,1
65,139,40.6535,1
65,82,52.919636,1
65,145,53.438,1
65,170,-20.944084,1
65,130,35.597677,1
65,146,-4.814541,1
65,23,63.368,1
65,59,-24.994763,1
65,48,34.4165,1
65,96,58.1878,1
65,60,40.36775,1
65,85,85.836,1
65,116,43.097,1
65,81,63.355,1
65,38,31.423,1
65,110,31.726985,1
65,171,35.564139,1
65,65,41.064,1
65,42,48.967,1
65,32,62.553,1
65,57,11.5039,1
65,124,5.121,1
1115,64,3.70661,3
1115,31,-3.67291,3
1115,118,9.967009,3
1115,147,16.123838,3
1115,12,15.740642,3
1115,156,4.216143,3
1115,11,6.009678,3
1809,49,16.731525,3
1809,97,5.70361,3
1809,64,39.640932,3
1809,161,-8.330094,3
1809,31,-17.104421,3
1809,100,-41.717619,3
1809,92,7.064428,3
1809,131,-17.92574,3
1809,95,12.402916,3
1809,52,35.282694,3
1809,2,37.45795,3
1809,144,9.482916,3
1809,171,21.227526,3
1809,110,27.675161,3
1809,59,1.125791,3
1809,146,-47.629142,3
1809,130,-17.322956,3
1809,170,49.316424,3
1809,148,-68.753001,3
1809,162,53.361313,3
1809,103,47.29463,3
2325,164,13.378098,2
2325,74,22.966306,2
2325,68,16.571917,2
2325,88,24.354,2
2325,172,62.946,2
2325,24,-28.721,2
1885,118,4.739,4
1885,31,50.116353,4
1885,47,-1.048,4
1885,1,20.643,4
1885,143,12.286,4
1885,76,19.257,4
1885,25,-1.001,4
1885,24,8.371,4
1885,56,16.523,4
1885,3,-5.811667,4
1885,36,29.201,4
1885,15,2.167,4
1885,150,-2.53,4
1885,17,8.765,4
1885,172,-4.592,4
2086,97,10.610562,0
2086,64,16.509086,0
2086,161,25.074209,0
2086,100,37.908178,0
2086,92,-36.914759,0
2086,131,-9.999998,0
2086,49,-32.402291,0
2086,103,40.097751,0
2086,110,28.764243,0
2086,171,9.786408,0
2086,59,23.847623,0
2086,146,14.089144,0
2086,130,36.848802,0
2086,170,29.283005,0
2086,162,24.907314,0
2086,2,40.823157,0
2086,144,7.42924,0
1829,31,98.411846,1
1829,164,-0.106,1
1829,74,3.637917,1
1829,68,11.647417,1
