drug_idx,cell_line_idx,ri,fold
65,2,-13.792242,0
65,37,58.4495,1
65,104,58.58,2
65,147,20.8885,3
65,94,0.5235,4
65,144,-11.189378,0
65,103,28.458728,1
65,91,69.333,2
65,112,50.068,3
65,52,-36.553156,4
65,119,63.537,0
65,0,29.373,1
65,49,3.253111,2
65,5,43.0835,3
65,95,30.088907,4
65,92,8.992518,0
65,100,14.156431,1
65,140,56.811,2
65,41,29.3735,3
65,115,54.58055,4
65,161,0.511329,0
65,46,-6.792,1
65,97,11.213344,2
65,159,7.51075,3
65,168,33.992159,4
65,101,24.608,0
65,149,39.58,1
65,18,53.26145,2
65,53,28.107,3
65,162,11.778027,4
65,139,40.6535,0
65,82,52.919636,1
65,145,53.438,2
65,170,-20.944084,3
65,130,35.597677,4
65,146,-4.814541,0
65,23,63.368,1
65,59,-24.994763,2
65,48,34.4165,3
65,96,58.1878,4
65,60,40.36775,0
65,85,85.836,1
65,116,43.097,2
65,81,63.355,3
65,38,31.423,4
65,110,31.726985,0
65,171,35.564139,1
65,65,41.064,2
65,42,48.967,3
65,32,62.553,4
65,57,11.5039,0
65,124,5.121,1
1115,64,3.70661,2
1115,31,-3.67291,3
1115,118,9.967009,4
1115,147,16.123838,0
1115,12,15.740642,1
1115,156,4.216143,2
1115,11,6.009678,3
1809,49,16.731525,4
1809,97,5.70361,0
1809,64,39.640932,1
1809,161,-8.330094,2
1809,31,-17.104421,3
1809,100,-41.717619,4
1809,92,7.064428,0
1809,131,-17.92574,1
1809,95,12.402916,2
1809,52,35.282694,3
1809,2,37.45795,4
1809,144,9.482916,0
1809,171,21.227526,1
1809,110,27.675161,2
1809,59,1.125791,3
1809,146,-47.629142,4
1809,130,-17.322956,0
1809,170,49.316424,1
1809,148,-68.753001,2
1809,162,53.361313,3
1809,103,47.29463,4
2325,164,13.378098,0
2325,74,22.966306,1
2325,68,16.571917,2
2325,88,24.354,3
2325,172,62.946,4
2325,24,-28.721,0
1885,118,4.739,1
1885,31,50.116353,2
1885,47,-1.048,3
1885,1,20.643,4
1885,143,12.286,0
1885,76,19.257,1
1885,25,-1.001,2
1885,24,8.371,3
1885,56,16.523,4
1885,3,-5.811667,0
1885,36,29.201,1
1885,15,2.167,2
1885,150,-2.53,3
1885,17,8.765,4
1885,172,-4.592,0
2086,97,10.610562,1
2086,64,16.509086,2
2086,161,25.074209,3
2086,100,37.908178,4
2086,92,-36.914759,0
2086,131,-9.999998,1
2086,49,-32.402291,2
2086,103,40.097751,3
2086,110,28.764243,4
2086,171,9.786408,0
2086,59,23.847623,1
2086,146,14.089144,2
2086,130,36.848802,3
2086,170,29.283005,4
2086,162,24.907314,0
2086,2,40.823157,1
2086,144,7.42924,2
1829,31,98.411846,3
1829,164,-0.106,4
1829,74,3.637917,0
1829,68,11.647417,1
1829,24,40.154,2
1829,150,24.764,3
1829,88,10.301583,4
1829,172,53.307,0
1829,3,4.529,1
282,166,24.803677,2
282,136,1.718781,3
282,163,8.374376,4
282,90,22.88414,0
282,80,3.525972,1
282,66,1.585107,2
282,108,8.913318,3
282,45,3.691461,4
282,11,3.725586,0
282,40,13.831908,1
282,95,8.470557,2
282,131,7.704578,3
282,92,5.571255,4
282,107,1.352613,0
282,54,4.414936,1
282,20,18.313749,2
282,118,6.131936,3
282,115,4.356982,4
282,75,12.317569,0
282,161,3.41998,1
282,64,5.958939,2
282,21,6.771461,3
282,99,7.395621,4
282,141,2.781108,0
282,72,4.247355,1
282,78,11.728543,2
282,156,6.758369,3
282,28,8.639724,4
282,169,32.264037,0
282,165,12.232455,1
282,87,10.600371,2
282,114,9.853126,3
282,29,8.517472,4
282,17,18.354691,0
282,117,20.749632,1
282,63,1.811107,2
282,15,7.001851,3
282,35,6.911232,4
282,84,10.738276,0
282,18,5.080003,1
282,127,13.102513,2
282,147,9.596042,3
282,102,7.828028,4
282,43,4.292666,0
282,121,3.500657,1
282,171,6.23285,2
1790,168,8.622545,3
1790,159,15.503818,4
1790,46,1.233273,0
1790,31,84.993133,1
1790,115,9.4703,2
1790,106,14.8485,3
1790,158,6.369,4
1790,101,-17.890909,0
1790,60,-7.6765,1
1790,24,-0.846978,2
1790,57,7.3244,3
1790,85,7.211727,4
1790,18,5.9533,0
1790,96,-0.9204,1
1790,82,3.071636,2
1790,172,56.414,3
1816,172,16.889,4
1816,148,30.540127,0
1816,24,13.086,1
1816,31,12.007363,2
1816,97,14.169945,3
1806,97,26.920357,4
1806,31,47.872972,0
1806,106,5.976278,1
1806,164,10.993061,2
1806,24,-27.816,3
1806,148,73.56988,4
1806,172,-0.332,0
1806,158,4.957222,1
1842,172,14.731,2
1842,148,43.010301,3
1842,24,3.604,4
1842,31,29.922432,0
1842,97,14.669842,1
2090,8,0.17775,2
2090,38,-2.39375,3
2090,35,-0.02525,4
2090,24,-10.281,0
2090,53,-1.127375,1
2090,132,-7.305875,2
2090,147,5.417625,3
2090,142,2.98325,4
2090,159,0.19975,0
2090,16,0.976875,1
2090,104,-0.479,2
2090,123,2.542625,3
2090,94,-1.769125,4
2090,124,-0.02175,0
2090,128,6.2495,1
2090,172,0.847,2
2090,165,2.187375,3
2090,145,-3.80825,4
2090,77,0.06325,0
2090,139,19.2295,1
2090,96,6.427875,2
2090,30,10.372875,3
2090,34,-8.647125,4
2090,48,1.414,0
2090,10,2.396875,1
3106,97,27.075791,2
3106,52,28.006855,3
3106,64,23.962261,4
3106,161,-14.977748,0
3106,100,30.814248,1
3106,131,40.448172,2
3106,95,17.868858,3
3106,49,23.690476,4
3106,103,-59.166999,0
3106,92,-17.62611,1
3106,171,27.643599,2
3106,110,15.582801,3
3106,59,9.70623,4
3106,146,18.50315,0
3106,130,25.455883,1
3106,170,35.424432,2
3106,148,-22.661191,3
3106,162,-30.684705,4
3106,2,46.629207,0
3106,144,30.35836,1
284,45,-2.090037,2
284,108,2.745343,3
284,21,0.490688,4
284,136,-0.760423,0
284,80,-1.783507,1
284,90,-1.168959,2
284,163,-0.05125,3
284,11,-0.101163,4
284,66,0.022116,0
284,40,0.300087,1
284,54,0.93772,2
284,131,-1.056696,3
284,92,-1.597354,4
284,107,-1.146947,0
284,20,-0.667865,1
284,118,-2.441131,2
284,115,0.440933,3
284,75,0.519442,4
284,161,-0.702082,0
284,64,0.572093,1
284,166,-0.331467,2
284,95,1.443091,3
284,99,-0.271777,4
284,102,-1.878826,0
284,72,-0.698243,1
284,78,0.791028,2
284,156,3.118384,3
284,169,-1.945304,4
284,165,-0.315613,0
284,87,-1.111072,1
284,63,-0.944066,2
284,29,-0.925051,3
284,17,-0.434856,4
284,117,-0.328319,0
284,28,-1.822821,1
284,35,-0.253907,2
284,141,0.32418,3
284,147,-0.037322,4
284,84,1.233338,0
284,18,-1.209934,1
284,114,-0.808789,2
284,171,0.304179,3
284,43,-1.407065,4
284,121,0.115278,0
284,15,-3.620442,1
284,127,-0.908431,2
2106,164,38.794027,3
2106,74,40.4565,4
2106,106,43.465,0
2106,68,38.018667,1
2106,158,25.741,2
2106,3,5.457,3
2106,150,-6.047,4
2106,172,84.232,0
2106,24,30.201,1
2106,88,20.866,2
3098,47,39.9392,3
3098,118,59.0997,4
3098,1,47.2866,0
3098,143,48.385,1
3098,76,41.6239,2
3098,25,-2.8435,3
3098,56,59.7422,4
3098,15,9.825,0
3098,17,14.9829,1
3098,151,18.971,2
3098,154,59.834667,3
3098,36,47.561875,4
2378,97,18.592004,0
2378,64,-12.247747,1
2378,161,-47.360354,2
2378,100,8.506395,3
2378,92,22.959725,4
2378,131,25.880056,0
2378,95,-60.893597,1
2378,49,-2.643761,2
2378,103,25.282298,3
2378,144,-52.321266,4
2378,52,-39.081588,0
2378,24,-18.13,1
2378,110,4.590871,2
2378,59,-27.389781,3
2378,146,-7.719208,4
2378,130,1.850711,0
2378,170,16.63625,1
2378,148,32.414714,2
2378,162,38.94182,3
2378,2,54.825896,4
2378,172,-2.961,0
2378,171,20.162165,1
322,52,10.24919,2
322,49,18.328098,3
322,95,16.814481,4
322,131,-11.284599,0
322,103,-18.397315,1
322,31,29.652318,2
322,161,29.12927,3
322,64,14.228266,4
322,97,39.065925,0
322,92,20.230636,1
322,144,11.058121,2
322,100,28.370439,3
322,24,11.838,4
322,172,-5.574,0
322,2,30.707942,1
322,162,13.842944,2
322,148,21.516279,3
322,171,35.603587,4
322,130,2.246548,0
322,146,21.929527,1
322,59,-4.894685,2
322,110,18.505908,3
322,170,-1.146137,4
58,54,1.215167,0
58,163,4.870606,1
58,90,6.857194,2
58,80,5.960404,3
58,66,5.858423,4
58,108,29.290616,0
58,45,9.877085,1
58,11,11.432507,2
58,40,18.126032,3
58,95,8.538617,4
58,107,4.699742,0
58,92,5.244205,1
58,166,18.682406,2
58,20,44.525519,3
58,118,22.287963,4
58,115,12.549461,0
58,75,19.830313,1
58,161,1.756618,2
58,64,6.95561,3
58,21,6.407181,4
58,131,9.050648,0
58,99,7.379544,1
58,136,3.473995,2
58,72,8.037435,3
58,78,7.235477,4
58,156,11.337743,0
58,28,18.310638,1
58,169,21.384192,2
58,165,14.231796,3
58,87,20.40067,4
58,114,22.667102,0
58,29,2.486502,1
58,17,23.629138,2
58,117,6.015434,3
58,141,13.001451,4
58,63,2.562025,0
58,15,16.833653,1
58,121,14.601335,2
58,43,18.868843,3
58,102,12.580885,4
58,171,20.757017,0
58,127,3.607167,1
58,18,16.616378,2
58,84,8.330217,3
58,147,6.932979,4
58,35,10.384612,0
1137,49,39.702792,1
1137,95,-22.568332,2
1137,131,16.022159,3
1137,92,22.512317,4
1137,97,-32.545897,0
1137,31,-13.270935,1
1137,161,7.060434,2
1137,64,16.939511,3
1137,52,-76.874085,4
1137,100,-2.30825,0
1137,103,-25.803442,1
1137,172,-1.026,2
1137,171,22.336128,3
1137,24,19.201,4
1137,110,-57.984614,0
1137,59,10.750296,1
1137,146,19.054137,2
1137,130,9.854114,3
1137,170,29.999644,4
1137,148,30.027016,0
1137,162,15.115681,1
1137,2,55.43319,2
1137,144,34.385047,3
3093,99,52.10275,4
3093,133,31.21125,0
3093,113,26.6085,1
3093,152,62.1325,2
3093,86,46.749,3
3093,6,51.179,4
3093,125,48.9825,0
3093,19,33.448,1
3093,7,59.26425,2
3093,109,44.2115,3
3093,155,29.73075,4
3093,72,40.79675,0
3093,129,55.69925,1
3093,38,48.896,2
3093,112,37.2535,3
3093,105,18.07675,4
3093,119,82.918611,0
3093,5,65.769,1
3093,41,73.354,2
3093,149,61.708611,3
3093,70,54.01325,4
3093,115,53.811,0
3093,69,46.8685,1
3093,134,71.5445,2
3093,62,51.508722,3
3093,27,59.058278,4
3093,91,41.658,0
3093,166,35.255,1
3093,126,48.58525,2
3093,60,36.225,3
3093,157,31.96375,4
3093,22,67.064389,0
3093,28,31.29175,1
3093,93,89.557556,2
3093,139,58.532,3
3093,82,47.033,4
3093,96,51.928,0
3093,33,36.05725,1
3093,9,19.35375,2
3093,79,45.9555,3
3093,73,37.4315,4
3093,124,54.683,0
3093,116,49.312,1
3093,23,1.59,2
3093,67,46.403722,3
3093,94,68.194,4
3093,147,82.027,0
3093,81,86.169,1
3093,37,63.521,2
3093,168,55.742,3
3093,53,71.707,4
3093,104,55.146,0
3093,44,72.747111,1
3093,57,69.142,2
3093,50,62.386056,3
3093,61,49.466556,4
3093,18,67.594,0
1843,172,-5.255,1
1843,24,-0.181,2
1843,158,-0.94935,3
1843,106,4.2223,4
1843,31,27.174347,0
1991,64,3.823385,1
1991,118,5.667484,2
1991,147,7.534521,3
1991,11,1.696969,4
1991,156,4.402104,0
1991,172,0.699,1
1991,12,12.051629,2
2156,97,6.863859,3
2156,64,27.680004,4
2156,161,-14.803528,0
2156,100,-39.086066,1
2156,92,-67.230595,2
2156,131,15.072538,3
2156,49,20.843311,4
2156,52,40.098673,0
2156,103,32.382408,1
2156,144,7.964911,2
2156,95,55.909827,3
2156,24,41.113,4
2156,110,18.878097,0
2156,59,11.518546,1
2156,146,13.85906,2
2156,130,12.422985,3
2156,170,17.780109,4
2156,148,-3.784539,0
2156,162,3.576376,1
2156,2,52.890586,2
2156,172,-5.721,3
2156,171,-17.956039,4
3101,125,43.235875,0
3101,72,40.812875,1
3101,86,29.084625,2
3101,152,57.513,3
3101,113,27.749625,4
3101,105,3.954125,0
3101,99,50.086875,1
3101,129,17.948125,2
3101,166,38.243,3
3101,112,10.901625,4
3101,19,16.47125,0
3101,133,25.420375,1
3101,70,46.827125,2
3101,7,43.37225,3
3101,6,37.85825,4
3101,109,36.49675,0
3101,33,20.104125,1
3101,9,13.943875,2
3101,79,29.8545,3
3101,23,37.497375,4
3101,28,16.65625,0
3101,73,39.236375,1
3101,126,6.675125,2
3101,91,24.92975,3
3101,155,30.359875,4
3101,157,38.20425,0
25,11,11.618712,1
25,137,21.504,2
25,166,30.2495,3
25,112,-2.469,4
25,173,3.865,0
25,153,40.261,1
25,80,11.591,2
25,98,9.844,3
25,25,18.156,4
25,107,8.3215,0
25,115,2.0935,1
25,58,45.219,2
25,118,59.201025,3
25,1,42.4105,4
25,13,6.559,0
25,31,9.43383,1
25,64,58.636567,2
25,83,12.5875,3
25,83,9.393,4
25,167,-1.066,0
25,159,27.1595,1
25,100,63.0535,2
25,114,11.7645,3
25,52,35.5135,4
25,94,14.171,0
25,172,20.007,1
25,162,13.386,2
25,122,25.812,3
25,148,52.864,4
25,120,21.2215,0
25,156,26.164525,1
25,12,65.906328,2
25,39,19.7455,3
25,138,7.3165,4
25,4,-0.2695,0
25,89,1.536,1
25,17,22.027,2
25,147,18.873763,3
25,71,55.7845,4
25,51,29.655,0
25,3,-4.474667,1
25,24,15.636,2
25,160,6.873,3
25,15,57.817,4
25,14,49.5735,0
25,150,2.357,1
25,57,1.929,2
25,135,18.4055,3
3090,101,-25.414636,4
3090,159,-8.854727,0
3090,46,3.977,1
3090,115,37.9665,2
3090,168,11.655364,3
3090,57,0.6542,4
3090,85,55.360727,0
3090,60,6.4478,1
3090,96,1.9925,2
3090,82,27.311727,3
3090,18,30.459,4
280,91,1.91775,0
280,155,4.3865,1
280,6,-1.21525,2
280,109,15.6165,3
280,7,8.82125,4
280,19,-9.125,0
280,125,17.50325,1
280,72,16.66975,2
280,86,3.017,3
280,152,-2.5385,4
280,133,16.2095,0
280,99,15.12625,1
280,129,7.64825,2
280,166,17.298,3
280,112,7.25625,4
280,105,18.47175,0
280,5,13.003,1
280,41,1.404,2
280,70,12.00375,3
280,115,6.489,4
280,113,4.90925,0
280,126,20.49375,1
280,94,50.21,2
280,157,8.52525,3
280,73,21.8935,4
280,28,-2.0405,0
280,139,25.465,1
280,82,2.243,2
280,96,24.4,3
280,33,6.08675,4
280,79,14.0255,0
280,23,23.3335,1
280,124,2.316,2
280,60,5.019,3
280,9,4.3235,4
280,81,9.215,0
280,116,18.835,1
280,104,13.123,2
280,37,8.291,3
280,168,15.879,4
280,147,44.166,0
280,18,-1.867,1
280,57,12.881,2
280,38,51.055,3
280,53,20.545,4
1118,49,22.439875,0
1118,97,5.113402,1
1118,64,-36.303678,2
1118,161,19.70518,3
1118,31,7.544637,4
1118,100,17.33125,0
1118,92,-32.800838,1
1118,131,5.118995,2
1118,95,-8.037103,3
1118,52,-31.346181,4
1118,130,-58.832297,0
1118,144,9.434061,1
1118,171,-58.764708,2
1118,110,21.27925,3
1118,59,0.239861,4
1118,146,18.650231,0
1118,170,10.541371,1
1118,148,-46.726917,2
1118,162,-11.464617,3
1118,2,31.373293,4
1118,103,11.328678,0
1179,49,6.934207,1
1179,95,-16.327925,2
1179,131,44.783515,3
1179,92,35.256376,4
1179,64,-3.947406,0
1179,31,9.728484,1
1179,161,24.890849,2
1179,97,4.55947,3
1179,52,5.777575,4
1179,100,13.773249,0
1179,103,10.795661,1
1179,2,7.190415,2
1179,171,27.963977,3
1179,24,-3.064,4
1179,110,33.522791,0
1179,59,5.249467,1
1179,146,-21.23363,2
1179,130,37.486411,3
1179,170,-8.280017,4
1179,148,-20.637409,0
1179,162,-11.395005,1
1179,172,1.801,2
1179,144,11.77707,3
41,11,7.685925,4
41,45,9.635057,0
41,108,13.614805,1
41,136,4.772731,2
41,80,7.569731,3
41,90,-2.342933,4
41,163,9.341507,0
41,40,5.129118,1
41,66,6.918147,2
41,95,14.853664,3
41,115,2.500033,4
41,107,5.710539,0
41,54,4.286164,1
41,20,3.150406,2
41,118,-0.905101,3
41,31,-1.10969,4
41,75,1.708082,0
41,161,2.6541,1
41,64,1.045423,2
41,21,0.485973,3
41,166,7.431295,4
41,131,6.236945,0
41,99,4.833077,1
41,92,6.287409,2
41,72,3.457229,3
41,156,2.496267,4
41,28,4.233889,0
41,169,-0.480411,1
41,165,2.867,2
41,87,7.689161,3
41,63,5.739471,4
41,29,0.754695,0
41,17,0.887122,1
41,117,6.256155,2
41,114,3.676943,3
41,78,10.626778,4
41,35,6.234235,0
41,15,0.983892,1
41,121,3.073507,2
41,43,2.255752,3
41,102,3.231505,4
41,171,8.557982,0
41,127,7.774604,1
41,18,1.083117,2
41,84,4.64703,3
41,147,7.663898,4
41,141,7.270721,0
275,40,38.053794,1
275,45,29.686915,2
275,108,43.415379,3
275,136,13.360274,4
275,80,10.253405,0
275,90,21.935381,1
275,163,19.370993,2
275,95,6.56015,3
275,66,19.429618,4
275,131,12.976173,0
275,118,33.107272,1
275,107,16.154124,2
275,54,20.121185,3
275,20,47.244343,4
275,115,0.712877,0
275,75,26.15852,1
275,161,6.867255,2
275,64,16.873677,3
275,21,24.650818,4
275,166,12.539904,0
275,92,16.206609,1
275,99,12.562498,2
275,11,27.663515,3
275,72,2.727942,4
275,114,54.50171,0
275,78,12.55366,1
275,28,38.677285,2
275,169,24.469669,3
275,165,19.733243,4
275,87,9.172136,0
275,63,1.118712,1
275,29,29.850125,2
275,17,25.725514,3
275,117,22.504402,4
275,141,21.349601,0
275,156,21.523926,1
275,15,29.724728,2
275,35,25.326401,3
275,84,15.573059,4
275,18,19.103515,0
275,127,7.796912,1
275,147,28.439362,2
275,102,27.878787,3
275,43,20.069642,4
