drug_row_idx,drug_col_idx,cell_line_idx,synergy_loewe,fold
0,1,4,-5.089853,2
0,2,4,2.924821,1
0,3,4,9.660318,1
0,4,4,-8.356111,2
0,7,4,3.842383,1
0,9,4,0.312107,0
0,11,4,10.543456,3
0,35,4,2.620901,4
0,116,4,5.159885,1
0,14,4,7.238193,1
0,15,4,-2.225502,2
0,17,4,-6.781376,3
0,18,4,-0.314144,2
0,19,4,20.517287,0
0,20,4,5.360254,4
0,25,4,-3.034894,0
0,28,4,-9.022149,2
0,29,4,-3.195937,3
0,30,4,-39.717161,0
0,34,4,0.248694,2
1,3,4,24.834569,3
1,9,4,10.967649,4
1,35,4,11.404828,3
1,19,4,30.331805,1
1,20,4,-2.959692,4
1,117,4,0.245039,4
1,27,4,30.14978,0
1,28,4,9.930043,1
1,31,4,-16.204517,1
2,1,4,-9.002299,2
2,3,4,6.248163,4
2,4,4,-10.789147,2
2,7,4,15.89847,3
2,9,4,-8.228113,0
2,11,4,2.403663,3
2,35,4,5.492025,1
2,14,4,22.885716,3
2,15,4,1.884073,4
2,17,4,8.683985,1
2,18,4,-0.166175,0
2,19,4,31.415527,4
2,20,4,42.035564,3
2,117,4,-6.543006,1
2,25,4,1.548969,4
2,27,4,3.309058,0
2,28,4,-2.638177,1
2,31,4,-5.552569,3
3,9,4,13.567885,0
3,20,4,16.437238,2
3,117,4,2.193015,3
3,27,4,18.104912,4
3,28,4,-3.291998,1
4,1,4,6.681245,2
4,3,4,2.675415,2
4,7,4,20.737392,2
4,9,4,-17.772422,1
4,35,4,-15.586759,4
4,19,4,19.191305,1
4,20,4,-4.147582,3
4,117,4,-10.913232,2
4,27,4,-1.816099,2
4,28,4,-11.938077,1
4,31,4,-23.443299,3
5,1,4,16.03747,1
5,2,4,4.580169,0
5,3,4,8.76738,2
5,4,4,-15.847761,1
5,7,4,26.300498,0
5,9,4,-15.918332,1
5,11,4,-9.571819,0
5,35,4,-14.699712,1
5,116,4,-13.544688,3
5,14,4,3.466016,4
5,15,4,-37.695889,4
5,17,4,1.815526,2
5,18,4,-11.564816,4
5,19,4,41.001095,1
5,20,4,33.146244,3
5,25,4,9.597897,3
5,28,4,-32.085186,1
5,29,4,-4.372567,2
5,30,4,-30.629351,4
5,34,4,-4.784087,4
6,1,4,8.639489,0
6,2,4,-1.634016,0
6,3,4,24.027573,1
6,4,4,8.956389,0
6,7,4,18.105366,1
6,9,4,12.300453,1
6,11,4,2.282048,0
6,35,4,1.738538,0
6,116,4,7.603898,3
6,14,4,-4.696791,4
6,15,4,3.535749,4
6,17,4,-0.371498,3
6,18,4,17.457681,3
6,19,4,56.144836,2
6,20,4,9.093806,4
6,25,4,-2.568152,0
6,28,4,5.667228,1
6,29,4,9.508866,2
6,30,4,-5.333432,3
6,34,4,21.498087,3
7,1,4,38.978483,0
7,3,4,59.4081,4
7,9,4,47.245563,2
7,35,4,44.964088,4
7,19,4,51.977218,4
7,20,4,55.500046,1
7,117,4,2.372455,1
7,27,4,20.112909,4
7,28,4,23.451736,3
7,31,4,-0.799896,1
8,1,4,-14.528089,2
8,2,4,-17.131674,4
8,3,4,4.521007,2
8,4,4,-20.883411,3
8,7,4,-5.289292,4
8,9,4,-7.047881,3
8,11,4,-27.893247,4
8,35,4,-10.474906,1
8,116,4,-15.008844,3
8,14,4,-43.358868,4
8,15,4,-54.792971,4
8,17,4,-15.862017,2
8,18,4,-11.38228,0
8,19,4,24.950965,1
8,20,4,-5.789984,4
8,25,4,-19.049931,4
8,28,4,0.378011,4
8,29,4,1.04889,4
8,30,4,-27.179883,0
8,34,4,-7.058422,3
9,20,4,-0.959976,1
10,1,4,14.442425,2
10,2,4,7.643342,3
10,3,4,6.284354,4
10,4,4,-20.728804,4
10,7,4,24.078457,4
10,9,4,2.114724,0
10,11,4,-19.256225,1
10,35,4,-11.369836,0
10,116,4,-20.82073,0
10,14,4,5.554164,0
10,15,4,-4.988732,1
10,17,4,-5.817022,3
10,18,4,-12.488807,3
10,19,4,18.678524,3
10,20,4,10.249636,4
10,25,4,9.919099,1
10,28,4,-23.574204,1
10,29,4,-15.782953,4
10,30,4,13.474168,2
10,34,4,8.788419,0
11,1,4,3.366033,4
11,3,4,36.289884,0
11,4,4,-1.662793,0
11,7,4,52.374279,3
11,9,4,1.353411,0
11,35,4,0.290804,4
11,19,4,65.958987,4
11,20,4,12.216406,2
11,117,4,-28.171979,1
11,25,4,9.489377,2
11,27,4,28.885002,2
11,28,4,-7.758444,1
11,31,4,21.937063,3
12,1,4,14.671795,3
12,2,4,9.771696,3
12,3,4,-11.257301,2
12,4,4,-11.48208,1
12,7,4,17.06469,4
12,9,4,-12.620132,1
12,11,4,0.470506,2
12,35,4,-2.717548,0
12,14,4,-1.478747,4
12,15,4,-3.239942,2
12,17,4,22.752253,2
12,18,4,13.364564,4
12,19,4,44.706887,0
12,20,4,32.104992,2
12,25,4,20.849203,4
12,28,4,-16.268416,1
12,29,4,-4.959967,3
12,30,4,-1.617519,1
12,34,4,11.305459,2
35,3,4,-0.044183,2
35,9,4,4.871121,2
35,20,4,-3.435336,4
35,117,4,-19.211079,2
35,27,4,11.28013,1
35,28,4,-4.707885,2
35,31,4,-16.566253,3
13,1,4,8.888183,0
13,2,4,5.623705,3
13,3,4,4.944742,0
13,4,4,-9.793079,4
13,7,4,21.668298,2
13,9,4,-6.415036,3
13,11,4,5.723256,1
13,35,4,-8.605658,0
13,14,4,-0.471187,0
13,15,4,-5.448376,1
13,17,4,13.472096,3
13,18,4,-1.47716,4
13,19,4,18.420537,2
13,20,4,32.443463,2
13,25,4,21.283176,1
13,28,4,-10.150395,1
13,29,4,3.919428,2
13,30,4,9.131774,2
116,1,4,4.143768,1
116,2,4,5.480946,4
116,3,4,28.505807,0
116,4,4,-4.390515,2
116,7,4,46.225073,3
116,9,4,2.315031,3
116,11,4,21.370267,0
116,12,4,-4.461219,2
116,35,4,13.182165,0
116,13,4,-10.04381,4
116,14,4,9.978296,3
116,15,4,7.057927,0
116,17,4,12.491225,3
116,18,4,-8.015259,0
116,19,4,45.263339,3
116,20,4,7.969866,2
116,117,4,-9.476912,2
116,25,4,13.496511,1
116,27,4,6.750014,2
116,28,4,-1.108927,4
116,29,4,3.150903,2
116,30,4,-20.43473,0
116,31,4,9.487419,0
116,33,4,-18.487491,3
116,34,4,11.032679,1
14,1,4,14.137312,2
14,3,4,44.114049,4
14,4,4,-5.287745,0
14,7,4,66.625466,1
14,9,4,16.798211,3
14,11,4,22.380385,3
14,35,4,-14.111401,3
14,15,4,29.054912,2
14,17,4,19.699718,3
14,18,4,9.320468,4
14,19,4,52.340474,2
14,20,4,25.355926,0
14,117,4,-6.261719,0
14,25,4,25.512054,1
14,27,4,22.560513,3
14,28,4,3.840265,3
14,31,4,6.873562,1
22,1,4,5.065807,2
22,2,4,-9.763161,1
22,3,4,25.58003,3
22,4,4,-6.762729,4
22,7,4,29.386501,0
22,9,4,6.096081,4
22,11,4,3.273065,0
22,35,4,-6.718757,3
22,116,4,10.667335,0
22,14,4,3.273731,3
22,15,4,-6.072998,4
22,17,4,4.540968,2
22,18,4,-2.737297,2
22,19,4,46.256365,0
22,20,4,9.53088,0
22,25,4,-15.34728,1
22,28,4,7.08983,3
