drug_row_idx,drug_col_idx,cell_line_idx,synergy_loewe,fold
0,1,4,-5.089853,1
0,2,4,2.924821,1
0,3,4,9.660318,1
0,4,4,-8.356111,1
0,7,4,3.842383,1
0,9,4,0.312107,1
0,11,4,10.543456,1
0,35,4,2.620901,1
0,116,4,5.159885,1
0,14,4,7.238193,1
0,15,4,-2.225502,1
0,17,4,-6.781376,1
0,18,4,-0.314144,1
0,19,4,20.517287,1
0,20,4,5.360254,1
0,25,4,-3.034894,1
0,28,4,-9.022149,1
0,29,4,-3.195937,1
0,30,4,-39.717161,1
0,34,4,0.248694,1
1,3,4,24.834569,1
1,9,4,10.967649,1
1,35,4,11.404828,1
1,19,4,30.331805,1
1,20,4,-2.959692,1
1,117,4,0.245039,1
1,27,4,30.14978,1
1,28,4,9.930043,1
1,31,4,-16.204517,1
2,1,4,-9.002299,1
2,3,4,6.248163,1
2,4,4,-10.789147,1
2,7,4,15.89847,1
2,9,4,-8.228113,1
2,11,4,2.403663,1
2,35,4,5.492025,1
2,14,4,22.885716,1
2,15,4,1.884073,1
2,17,4,8.683985,1
2,18,4,-0.166175,1
2,19,4,31.415527,1
2,20,4,42.035564,1
2,117,4,-6.543006,1
2,25,4,1.548969,1
2,27,4,3.309058,1
2,28,4,-2.638177,1
2,31,4,-5.552569,1
3,9,4,13.567885,1
3,20,4,16.437238,1
3,117,4,2.193015,1
3,27,4,18.104912,1
3,28,4,-3.291998,1
4,1,4,6.681245,1
4,3,4,2.675415,1
4,7,4,20.737392,1
4,9,4,-17.772422,1
4,35,4,-15.586759,1
4,19,4,19.191305,1
4,20,4,-4.147582,1
4,117,4,-10.913232,1
4,27,4,-1.816099,1
4,28,4,-11.938077,1
4,31,4,-23.443299,1
5,1,4,16.03747,1
5,2,4,4.580169,1
5,3,4,8.76738,1
5,4,4,-15.847761,1
5,7,4,26.300498,1
5,9,4,-15.918332,1
5,11,4,-9.571819,1
5,35,4,-14.699712,1
5,116,4,-13.544688,1
5,14,4,3.466016,1
5,15,4,-37.695889,1
5,17,4,1.815526,1
5,18,4,-11.564816,1
5,19,4,41.001095,1
5,20,4,33.146244,1
5,25,4,9.597897,1
5,28,4,-32.085186,1
5,29,4,-4.372567,1
5,30,4,-30.629351,1
5,34,4,-4.784087,1
6,1,4,8.639489,1
6,2,4,-1.634016,1
6,3,4,24.027573,1
6,4,4,8.956389,1
6,7,4,18.105366,1
6,9,4,12.300453,1
6,11,4,2.282048,1
6,35,4,1.738538,1
6,116,4,7.603898,1
6,14,4,-4.696791,1
6,15,4,3.535749,1
