drug_row_idx,drug_col_idx,cell_line_idx,synergy_loewe,fold,drug_row_fold,drug_col_fold
0,1,4,-5.089853,4,2,0
0,2,4,2.924821,0,2,1
0,3,4,9.660318,1,2,2
0,4,4,-8.356111,3,2,3
0,7,4,3.842383,2,2,4
0,9,4,0.312107,4,2,0
0,11,4,10.543456,0,2,1
0,35,4,2.620901,1,2,2
0,116,4,5.159885,3,2,3
0,14,4,7.238193,2,2,4
0,15,4,-2.225502,4,2,0
0,17,4,-6.781376,0,2,1
0,18,4,-0.314144,1,2,2
0,19,4,20.517287,2,2,3
0,20,4,5.360254,4,2,4
0,25,4,-3.034894,0,2,0
0,28,4,-9.022149,1,2,1
0,29,4,-3.195937,2,2,2
0,30,4,-39.717161,4,2,3
0,34,4,0.248694,0,2,4
1,3,4,24.834569,1,0,2
1,9,4,10.967649,2,0,0
1,35,4,11.404828,4,0,2
1,19,4,30.331805,0,0,3
1,20,4,-2.959692,1,0,4
1,117,4,0.245039,3,0,3
1,27,4,30.14978,2,0,4
1,28,4,9.930043,4,0,1
1,31,4,-16.204517,0,0,0
2,1,4,-9.002299,1,1,0
2,3,4,6.248163,2,1,2
2,4,4,-10.789147,3,1,3
2,7,4,15.89847,4,1,4
2,9,4,-8.228113,0,1,0
2,11,4,2.403663,1,1,1
2,35,4,5.492025,2,1,2
2,14,4,22.885716,4,1,4
2,15,4,1.884073,0,1,0
2,17,4,8.683985,1,1,1
2,18,4,-0.166175,2,1,2
2,19,4,31.415527,4,1,3
2,20,4,42.035564,0,1,4
2,117,4,-6.543006,3,1,3
2,25,4,1.548969,1,1,0
2,27,4,3.309058,2,1,4
2,28,4,-2.638177,4,1,1
2,31,4,-5.552569,0,1,0
3,9,4,13.567885,1,2,0
3,20,4,16.437238,2,2,4
3,117,4,2.193015,3,2,3
3,27,4,18.104912,4,2,4
3,28,4,-3.291998,0,2,1
4,1,4,6.681245,3,3,0
4,3,4,2.675415,3,3,2
4,7,4,20.737392,3,3,4
4,9,4,-17.772422,3,3,0
4,35,4,-15.586759,3,3,2
4,19,4,19.191305,3,3,3
4,20,4,-4.147582,3,3,4
4,117,4,-10.913232,3,3,3
4,27,4,-1.816099,3,3,4
4,28,4,-11.938077,3,3,1
4,31,4,-23.443299,3,3,0
5,1,4,16.03747,1,1,0
5,2,4,4.580169,2,1,1
5,3,4,8.76738,4,1,2
5,4,4,-15.847761,3,1,3
5,7,4,26.300498,0,1,4
5,9,4,-15.918332,1,1,0
5,11,4,-9.571819,2,1,1
5,35,4,-14.699712,4,1,2
5,116,4,-13.544688,3,1,3
5,14,4,3.466016,0,1,4
5,15,4,-37.695889,1,1,0
5,17,4,1.815526,2,1,1
5,18,4,-11.564816,4,1,2
5,19,4,41.001095,0,1,3
5,20,4,33.146244,1,1,4
5,25,4,9.597897,2,1,0
5,28,4,-32.085186,4,1,1
5,29,4,-4.372567,0,1,2
5,30,4,-30.629351,1,1,3
5,34,4,-4.784087,2,1,4
6,1,4,8.639489,4,2,0
6,2,4,-1.634016,0,2,1
6,3,4,24.027573,1,2,2
6,4,4,8.956389,3,2,3
6,7,4,18.105366,2,2,4
6,9,4,12.300453,4,2,0
6,11,4,2.282048,0,2,1
6,35,4,1.738538,1,2,2
6,116,4,7.603898,3,2,3
6,14,4,-4.696791,2,2,4
6,15,4,3.535749,4,2,0
6,17,4,-0.371498,0,2,1
6,18,4,17.457681,1,2,2
6,19,4,56.144836,2,2,3
6,20,4,9.093806,4,2,4
6,25,4,-2.568152,0,2,0
6,28,4,5.667228,1,2,1
